Interaction,Gene 1, Gene 2,Mechismo Score
HIST1H2BH	H2AFJ,HIST1H2BH,H2AFJ,2.743030
HLA-B	B2M,HLA-B,B2M,3.657490
TUBB3	TUBA1C,TUBB3,TUBA1C,1.020000
COL4A2	COL4A6,COL4A2,COL4A6,2.972350
NTRK1	SHC3,NTRK1,SHC3,1.030000
HIST1H2BK	H2AFV,HIST1H2BK,H2AFV,1.770000
HIST1H2BK	H2AFX,HIST1H2BK,H2AFX,4.455460
HIST2H4B	HIST1H3E,HIST2H4B,HIST1H3E,2.732990
HIST1H3E	CBX2,HIST1H3E,CBX2,3.000000
CTNNB1	CDH12,CTNNB1,CDH12,3.510000
CTNNB1	CDH11,CTNNB1,CDH11,1.860000
CTNNB1	CDH8,CTNNB1,CDH8,5.500000
CCNB1	PKMYT1,CCNB1,PKMYT1,1.860000
CTNNB1	CDH6,CTNNB1,CDH6,5.500000
GINS3	GINS2,GINS3,GINS2,2.420000
CTNNB1	CDH4,CTNNB1,CDH4,5.500000
CXCL12	CXCR4,CXCL12,CXCR4,1.940000
SNRPF	LSM7,SNRPF,LSM7,1.870000
RHOC	PKN1,RHOC,PKN1,1.430000
SEC13	SEC16B,SEC13,SEC16B,2.810000
RABGGTB	RABGGTA,RABGGTB,RABGGTA,1.160000
GNAI3	RGS18,GNAI3,RGS18,1.830000
ARL2	ARL2BP,ARL2,ARL2BP,2.230000
BRCA2	RAD51,BRCA2,RAD51,3.500000
HIST1H2AD	H2BFS,HIST1H2AD,H2BFS,1.010000
GRIK2	GRIK4,GRIK2,GRIK4,1.680000
RPL35	RPL23A,RPL35,RPL23A,2.580000
HIST1H2BK	HIST2H4B,HIST1H2BK,HIST2H4B,1.610000
EPHB3	EFNB1,EPHB3,EFNB1,3.110000
CHMP6	VPS4A,CHMP6,VPS4A,1.190000
HLA-DQA2	HLA-DRB1,HLA-DQA2,HLA-DRB1,1.850000
SNRPF	SNRPG,SNRPF,SNRPG,1.360000
PLCG1	KDR,PLCG1,KDR,2.740000
TP53	PPP1R13B,TP53,PPP1R13B,4.752880
UBE2G2	RPS27A,UBE2G2,RPS27A,2.130000
H2AFX	H2AFJ,H2AFX,H2AFJ,2.743030
CUL3	KLHL22,CUL3,KLHL22,2.120000
EP300	NCOA3,EP300,NCOA3,1.950000
ADCY6	GNAL,ADCY6,GNAL,3.360000
IL4	IL2RG,IL4,IL2RG,2.460000
FGFR1	NCAM1,FGFR1,NCAM1,1.760000
CDKN1A	CCNA1,CDKN1A,CCNA1,1.590000
RB1	TFDP1,RB1,TFDP1,1.770000
KRT9	KRT2,KRT9,KRT2,2.000000
UBC	UBE2F,UBC,UBE2F,3.376720
RB1	TFDP2,RB1,TFDP2,1.510000
GNB5	RGS6,GNB5,RGS6,2.800000
HCK	PIK3CA,HCK,PIK3CA,1.130000
POLR1A	POLR2H,POLR1A,POLR2H,1.760000
TNFSF4	TNFRSF4,TNFSF4,TNFRSF4,3.620000
HCK	PIK3CB,HCK,PIK3CB,1.620000
RPS3	RPS10,RPS3,RPS10,1.380000
GNG4	GNB1,GNG4,GNB1,1.540000
UBB	POLI,UBB,POLI,1.120000
IHH	HHIP,IHH,HHIP,1.420000
UBE2G2	UBA52,UBE2G2,UBA52,2.130000
AURKB	INCENP,AURKB,INCENP,2.110000
RAPGEF3	RAP1A,RAPGEF3,RAP1A,4.750000
GRIA2	GRIA3,GRIA2,GRIA3,1.470000
GNG4	GNB2,GNG4,GNB2,1.540000
ADCY5	GNAL,ADCY5,GNAL,1.630000
TRAF2	TANK,TRAF2,TANK,3.250000
PCNA	RFC5,PCNA,RFC5,2.120000
MYL12B	MYH11,MYL12B,MYH11,2.610000
ARAF	BRAF,ARAF,BRAF,1.300000
RHOH	ARHGDIG,RHOH,ARHGDIG,2.964330
LYN	PRKCQ,LYN,PRKCQ,2.350000
PCNA	RFC3,PCNA,RFC3,2.120000
F10	TFPI,F10,TFPI,4.730760
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
KRAS	RAF1,KRAS,RAF1,4.451890
RAF1	RAP1A,RAF1,RAP1A,4.750000
PPARA	NCOA2,PPARA,NCOA2,2.550000
CALM2	SCN5A,CALM2,SCN5A,1.980000
UBA52	NEDD4L,UBA52,NEDD4L,6.190000
CALM2	SCN9A,CALM2,SCN9A,5.290760
POLR2B	POLR2L,POLR2B,POLR2L,1.930000
ARHGDIB	RHOG,ARHGDIB,RHOG,1.460000
PLXNB1	RND1,PLXNB1,RND1,4.324330
GNAO1	GNB3,GNAO1,GNB3,3.090000
CCNA2	CDK2,CCNA2,CDK2,4.440820
SNRPF	SNRPD2,SNRPF,SNRPD2,2.170000
EGFR	PTPN11,EGFR,PTPN11,2.060000
UBE2E1	WWP1,UBE2E1,WWP1,1.650000
HRAS	RASGRF1,HRAS,RASGRF1,2.550000
RND1	ARHGAP35,RND1,ARHGAP35,1.250000
FYN	PLCG2,FYN,PLCG2,4.480000
NLGN4X	NRXN2,NLGN4X,NRXN2,3.409900
MAP2K6	MAP3K5,MAP2K6,MAP3K5,3.961230
RELB	RELA,RELB,RELA,3.130000
FGFR2	FGF23,FGFR2,FGF23,1.940000
MCF2L	RHOC,MCF2L,RHOC,3.753460
HLA-DMA	HLA-DRB1,HLA-DMA,HLA-DRB1,3.256510
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
H2AFZ	HIST2H4B,H2AFZ,HIST2H4B,2.280000
EPHA3	EFNA3,EPHA3,EFNA3,6.210000
CAPNS1	CAST,CAPNS1,CAST,2.916640
HIST1H2AB	HIST2H2AA4,HIST1H2AB,HIST2H2AA4,1.380000
H2AFZ	HIST1H2BI,H2AFZ,HIST1H2BI,1.740000
HLA-E	KLRD1,HLA-E,KLRD1,2.500000
EED	EZH2,EED,EZH2,2.240000
MAPK3	RPS6KA1,MAPK3,RPS6KA1,3.360000
EPHA3	EFNB2,EPHA3,EFNB2,6.210000
EPHA3	EFNA4,EPHA3,EFNA4,6.210000
UBA52	CUL1,UBA52,CUL1,1.150000
UBA52	CUL2,UBA52,CUL2,2.710000
UBC	UBE2E3,UBC,UBE2E3,4.700000
UBA52	CUL3,UBA52,CUL3,7.230000
PPP2R1B	PPP2R5E,PPP2R1B,PPP2R5E,3.130000
UBE2D3	UBE3A,UBE2D3,UBE3A,2.280000
HIST1H2AD	CENPA,HIST1H2AD,CENPA,1.420000
WASL	ACTR3,WASL,ACTR3,3.740000
KRT1	KRT9,KRT1,KRT9,1.280000
EP300	CITED4,EP300,CITED4,3.030000
TNFRSF1B	TRAF2,TNFRSF1B,TRAF2,3.850000
UBA52	CUL4A,UBA52,CUL4A,7.230000
UBA52	HECW2,UBA52,HECW2,2.330000
SRC	PAK2,SRC,PAK2,1.840000
RGS14	GNAI3,RGS14,GNAI3,3.960000
EP300	NCOA2,EP300,NCOA2,1.420000
DHH	BOC,DHH,BOC,1.050000
PFN2	ACTB,PFN2,ACTB,1.200000
UBA52	CUL4B,UBA52,CUL4B,7.230000
ADRA2A	GNAZ,ADRA2A,GNAZ,1.730000
FYN	YES1,FYN,YES1,3.390000
UBA52	UBA5,UBA52,UBA5,7.230000
ELOC	ASB9,ELOC,ASB9,1.590000
LAMC1	NID1,LAMC1,NID1,2.760000
TUBA1B	TUBB3,TUBA1B,TUBB3,2.380000
UBB	PACSIN2,UBB,PACSIN2,4.190000
TP53	RPA1,TP53,RPA1,1.770000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
CENPA	HIST1H2AC,CENPA,HIST1H2AC,2.500000
IL22RA2	IL22,IL22RA2,IL22,1.150000
RGS13	GNAI1,RGS13,GNAI1,3.420000
HLA-A	B2M,HLA-A,B2M,3.657490
PPP2R1B	PPP2R5D,PPP2R1B,PPP2R5D,1.770000
AP2A2	AP2S1,AP2A2,AP2S1,1.090000
FGF2	FGFRL1,FGF2,FGFRL1,1.250000
GNB2	GNGT1,GNB2,GNGT1,1.460000
MAGOH	PPIE,MAGOH,PPIE,2.270000
UBE2N	UBA52,UBE2N,UBA52,2.330000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
GNB2	GNG5,GNB2,GNG5,1.630000
GNB2	GNG3,GNB2,GNG3,1.530000
ITGB3	ITGA2B,ITGB3,ITGA2B,1.830000
CD4	HLA-DQA2,CD4,HLA-DQA2,2.200000
EFNA5	EPHA7,EFNA5,EPHA7,2.020000
CNR1	GNAI1,CNR1,GNAI1,1.510000
HLA-DRB1	HLA-DMA,HLA-DRB1,HLA-DMA,1.480000
RGS5	GNAI3,RGS5,GNAI3,3.960000
WASL	ACTR2,WASL,ACTR2,2.140000
IL4R	IL13,IL4R,IL13,4.750000
CDK4	CDKN2B,CDK4,CDKN2B,2.890000
CDK4	CDKN2A,CDK4,CDKN2A,2.420000
SFN	YWHAE,SFN,YWHAE,1.360000
CDK4	CDKN2C,CDK4,CDKN2C,3.455930
CCND2	CDKN1B,CCND2,CDKN1B,1.650000
VAV1	CDC42,VAV1,CDC42,3.350000
CTNNB1	CDH18,CTNNB1,CDH18,5.500000
LSM6	SNRPD2,LSM6,SNRPD2,2.170000
TNFRSF13C	TNFSF13B,TNFRSF13C,TNFSF13B,2.070000
CDK1	CCNB1,CDK1,CCNB1,1.860000
HIST1H2AD	HIST2H2AA4,HIST1H2AD,HIST2H2AA4,2.743030
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
KIT	PIK3R1,KIT,PIK3R1,4.750000
BIRC2	TAB1,BIRC2,TAB1,3.950000
TUBB4A	TUBA1A,TUBB4A,TUBA1A,2.080000
JAG1	NOTCH2,JAG1,NOTCH2,1.200000
RAD51C	XRCC2,RAD51C,XRCC2,1.950000
HLA-B	LILRB1,HLA-B,LILRB1,3.400000
H2AFX	HIST1H2BA,H2AFX,HIST1H2BA,4.455460
LCK	PIK3R1,LCK,PIK3R1,3.437890
GNB5	RGS7,GNB5,RGS7,2.800000
UBC	SH3KBP1,UBC,SH3KBP1,3.376720
BCL2	BID,BCL2,BID,2.540000
HIST1H2AB	H2AFJ,HIST1H2AB,H2AFJ,1.380000
RHOA	ARHGEF1,RHOA,ARHGEF1,5.447490
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
UBE2N	RPS27A,UBE2N,RPS27A,2.330000
CDH5	CTNNB1,CDH5,CTNNB1,1.180000
ARF3	COPG1,ARF3,COPG1,1.070000
RHOA	ARHGAP35,RHOA,ARHGAP35,1.250000
SKP1	FBXO2,SKP1,FBXO2,1.650000
BAG4	HSPA8,BAG4,HSPA8,2.600000
FYN	EPHA8,FYN,EPHA8,3.200000
FYN	EPHB2,FYN,EPHB2,1.670000
FYN	EPHA3,FYN,EPHA3,3.548230
CCNB1	PLK1,CCNB1,PLK1,1.860000
NTRK1	KIDINS220,NTRK1,KIDINS220,2.960000
ATG7	GABARAPL1,ATG7,GABARAPL1,2.530000
KRAS	RASGRF1,KRAS,RASGRF1,2.550000
KRAS	NF1,KRAS,NF1,3.744330
MAPKAPK2	MAPK11,MAPKAPK2,MAPK11,3.298510
UBE2E3	WWP1,UBE2E3,WWP1,1.650000
PHLPP1	AKT3,PHLPP1,AKT3,5.498130
SUMO3	UBA2,SUMO3,UBA2,1.860000
IKBKB	NFKBIB,IKBKB,NFKBIB,1.840000
ARHGDIA	RHOA,ARHGDIA,RHOA,1.600000
HIST1H2AB	HIST2H2BE,HIST1H2AB,HIST2H2BE,2.760000
UBA52	UBE2J2,UBA52,UBE2J2,7.230000
HIST1H2AB	HIST2H2AC,HIST1H2AB,HIST2H2AC,1.380000
HIP1	HIP1R,HIP1,HIP1R,1.290000
UBE2D2	ITCH,UBE2D2,ITCH,1.640000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
UBB	HUWE1,UBB,HUWE1,1.530000
UBB	ITSN2,UBB,ITSN2,2.790000
RHOC	ABR,RHOC,ABR,3.753460
SNRPB	LSM4,SNRPB,LSM4,4.455460
TP53	CREBBP,TP53,CREBBP,1.430000
SUMO1	UBA2,SUMO1,UBA2,1.860000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
MAP3K7	RIPK2,MAP3K7,RIPK2,3.354530
CUL3	CUL5,CUL3,CUL5,2.270000
EPHB4	EFNB3,EPHB4,EFNB3,1.460000
UBE2L3	WWP1,UBE2L3,WWP1,3.660000
GNAT3	GNAI1,GNAT3,GNAI1,3.810540
UBA1	UBE2E3,UBA1,UBE2E3,2.070000
BAG2	HSPA4,BAG2,HSPA4,3.210000
UBC	CTTN,UBC,CTTN,3.376720
GNB3	GNAT2,GNB3,GNAT2,2.900000
RHOB	ARHGEF1,RHOB,ARHGEF1,4.828680
FYN	KIT,FYN,KIT,2.256640
HIST1H2BK	HIST1H2AB,HIST1H2BK,HIST1H2AB,1.770000
ADCY7	GNAS,ADCY7,GNAS,1.290000
RPL23	RPL24,RPL23,RPL24,3.498430
CTNNB1	LEF1,CTNNB1,LEF1,5.500000
UBE2L3	TRIP12,UBE2L3,TRIP12,3.660000
SKP1	FBXL7,SKP1,FBXL7,1.980000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
HLA-DQB1	HLA-DPA1,HLA-DQB1,HLA-DPA1,1.780000
NDUFV2	NDUFV1,NDUFV2,NDUFV1,2.020000
EPHA1	EFNA4,EPHA1,EFNA4,1.980000
UBB	STAM,UBB,STAM,4.190000
EPHA1	EFNA3,EPHA1,EFNA3,1.790000
MERTK	GAS6,MERTK,GAS6,1.160000
SMAD3	NEDD4L,SMAD3,NEDD4L,1.030000
POLR2C	POLR2K,POLR2C,POLR2K,1.180000
CDK4	CDK2,CDK4,CDK2,3.229870
UBC	HECTD1,UBC,HECTD1,3.473600
FGFR4	FGF23,FGFR4,FGF23,1.940000
HSPA1L	BAG5,HSPA1L,BAG5,1.940000
MAPK11	MAPKAPK3,MAPK11,MAPKAPK3,2.240000
C1QA	C1QC,C1QA,C1QC,2.820000
RHOC	MYO9B,RHOC,MYO9B,8.454330
C1QA	C1QB,C1QA,C1QB,4.300930
STRA13	FANCM,STRA13,FANCM,1.690000
TP53	SMYD2,TP53,SMYD2,1.490000
PAK3	RAC1,PAK3,RAC1,3.698820
RHOA	PLEKHG2,RHOA,PLEKHG2,2.360000
NFKBIE	IKBKG,NFKBIE,IKBKG,1.530000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
RPL7	RPL4,RPL7,RPL4,1.110000
GNAI3	CNR1,GNAI3,CNR1,1.510000
CHM	RAB7A,CHM,RAB7A,1.180000
CHM	RAB5C,CHM,RAB5C,3.288370
HLA-B	B2M,HLA-B,B2M,3.657490
HLA-B	B2M,HLA-B,B2M,3.657490
HIST1H2AB	HIST1H2BA,HIST1H2AB,HIST1H2BA,1.220000
KRT17	KRT71,KRT17,KRT71,1.250000
UBC	CUL5,UBC,CUL5,3.376720
IGF1	IGFBP3,IGF1,IGFBP3,1.290000
UBA52	VPS36,UBA52,VPS36,7.230000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
SREBF2	KPNB1,SREBF2,KPNB1,1.030000
FYN	PAK2,FYN,PAK2,1.840000
RHOC	ROCK1,RHOC,ROCK1,5.690230
HRAS	ARAF,HRAS,ARAF,1.260000
BAG2	HSPA7,BAG2,HSPA7,1.580000
KRT36	KRT84,KRT36,KRT84,1.660000
GRK2	GNAQ,GRK2,GNAQ,1.390000
HLA-DRA	HLA-DQB1,HLA-DRA,HLA-DQB1,2.800000
CNTN2	NRCAM,CNTN2,NRCAM,2.820000
GH1	GHR,GH1,GHR,2.560000
UBA52	USP15,UBA52,USP15,2.330000
PIK3CD	PIK3R1,PIK3CD,PIK3R1,1.900000
LRP5	DKK1,LRP5,DKK1,1.130000
WASL	ACTB,WASL,ACTB,2.700000
UBE2E1	RPS27A,UBE2E1,RPS27A,2.450000
RAC1	ARHGEF19,RAC1,ARHGEF19,4.054650
SPTB	ANK1,SPTB,ANK1,1.230000
BTLA	TNFRSF14,BTLA,TNFRSF14,1.680000
HLA-DRA	HLA-DRB1,HLA-DRA,HLA-DRB1,2.800000
CASK	LIN7C,CASK,LIN7C,2.200000
HLA-DRA	HLA-DRB1,HLA-DRA,HLA-DRB1,2.800000
CD3E	PTPN6,CD3E,PTPN6,3.290000
TNFRSF17	TNFSF13B,TNFRSF17,TNFSF13B,2.070000
UBC	UBE2W,UBC,UBE2W,3.376720
UBE2E1	UBA52,UBE2E1,UBA52,7.230000
EGFR	CSK,EGFR,CSK,2.060000
B2M	HLA-B,B2M,HLA-B,3.657490
F2	GP1BA,F2,GP1BA,5.064290
HIST1H2BB	HIST1H2AC,HIST1H2BB,HIST1H2AC,1.410000
UBC	UBE2E1,UBC,UBE2E1,3.376720
ARHGAP32	RHOA,ARHGAP32,RHOA,1.400000
TRAF2	TRAF3,TRAF2,TRAF3,2.160000
HLA-A	B2M,HLA-A,B2M,1.360000
UBA52	UBE3C,UBA52,UBE3C,2.330000
WDR5	RBBP5,WDR5,RBBP5,2.860000
RGS10	GNAI1,RGS10,GNAI1,3.060000
YWHAE	YWHAZ,YWHAE,YWHAZ,4.388800
PARK2	UBE2E2,PARK2,UBE2E2,1.670000
ARHGEF9	RHOA,ARHGEF9,RHOA,5.447490
CDK2	CKS1B,CDK2,CKS1B,2.540000
SNRPD3	LSM7,SNRPD3,LSM7,3.240750
VAV1	PLCG2,VAV1,PLCG2,4.340000
UBA52	TSG101,UBA52,TSG101,2.330000
CALM2	GRIN1,CALM2,GRIN1,4.780000
B2M	HLA-C,B2M,HLA-C,3.657490
HIST1H2AD	HIST2H2BE,HIST1H2AD,HIST2H2BE,2.760000
HIST1H2AD	HIST2H2AC,HIST1H2AD,HIST2H2AC,2.423030
UBE2L3	SMURF2,UBE2L3,SMURF2,1.240000
PLCG1	ITK,PLCG1,ITK,1.950000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
B2M	HLA-C,B2M,HLA-C,3.657490
RHOA	ARHGEF5,RHOA,ARHGEF5,5.447490
RAB5A	RBSN,RAB5A,RBSN,3.757890
SRC	EPHA3,SRC,EPHA3,3.548230
RPS27A	SH3KBP1,RPS27A,SH3KBP1,2.168270
RAB3A	CHM,RAB3A,CHM,5.560000
CDH3	CTNNB1,CDH3,CTNNB1,1.580000
EGF	ERBB2,EGF,ERBB2,1.350000
CDK4	CDKN2D,CDK4,CDKN2D,3.455930
STAT1	STAT2,STAT1,STAT2,3.400000
GNAT3	ADCY6,GNAT3,ADCY6,3.750000
SHH	BOC,SHH,BOC,1.920000
GRB2	PAK1,GRB2,PAK1,1.690000
TUBA3C	TUBB1,TUBA3C,TUBB1,1.250000
GNAI2	GNB2,GNAI2,GNB2,2.400000
GNAT3	GNB2,GNAT3,GNB2,3.750000
GNB1	GNGT1,GNB1,GNGT1,1.460000
RAC2	TIAM1,RAC2,TIAM1,2.500000
GNB1	GNG3,GNB1,GNG3,1.530000
GNB1	GNG5,GNB1,GNG5,1.630000
KLHL2	CUL3,KLHL2,CUL3,2.120000
ADCY7	ADCY2,ADCY7,ADCY2,2.897540
MAPK3	RPS6KA3,MAPK3,RPS6KA3,3.360000
HLA-DQA1	HLA-DRB1,HLA-DQA1,HLA-DRB1,2.997910
GNB5	RGS9,GNB5,RGS9,1.340000
EPHA3	EFNA5,EPHA3,EFNA5,6.210000
GNAT3	GNB1,GNAT3,GNB1,3.720000
TRIB3	AKT3,TRIB3,AKT3,2.110000
GNAI2	GNB1,GNAI2,GNB1,3.720000
CDC20	MAD2L1,CDC20,MAD2L1,1.140000
LCK	BTK,LCK,BTK,3.350000
ARF4	COPG1,ARF4,COPG1,1.070000
UBE2L3	NEDD4L,UBE2L3,NEDD4L,3.660000
FGFR1	PLCG1,FGFR1,PLCG1,1.420000
ACTR3	MYH2,ACTR3,MYH2,1.660000
GNB3	GNG4,GNB3,GNG4,3.240000
GNB3	GNG10,GNB3,GNG10,1.490000
PDGFA	PDGFRA,PDGFA,PDGFRA,1.720000
SMAD3	SMAD4,SMAD3,SMAD4,1.320000
COL4A1	COL4A2,COL4A1,COL4A2,1.940000
LSM3	SNRPD1,LSM3,SNRPD1,1.250000
SAE1	UBA2,SAE1,UBA2,1.030000
LILRA2	HLA-C,LILRA2,HLA-C,1.710000
GNG3	GNB4,GNG3,GNB4,1.530000
EGFR	YES1,EGFR,YES1,2.060000
RAB5C	OCRL,RAB5C,OCRL,5.445530
TRIO	RHOA,TRIO,RHOA,1.140000
GNAT3	RGS13,GNAT3,RGS13,3.810540
RPS27A	WWP1,RPS27A,WWP1,1.380000
SEC24C	SEC23A,SEC24C,SEC23A,1.630000
ADCY2	ADCY4,ADCY2,ADCY4,1.530000
GNAT3	RGS12,GNAT3,RGS12,1.170000
TRA2B	MAGOHB,TRA2B,MAGOHB,3.470200
UBE2D1	RPS27A,UBE2D1,RPS27A,1.430000
ERBB2	GRB2,ERBB2,GRB2,2.930000
HLA-DQA2	HLA-DPB1,HLA-DQA2,HLA-DPB1,1.850000
TRIM41	TRIM11,TRIM41,TRIM11,2.710000
ERBB2	NRG1,ERBB2,NRG1,1.890000
CXCR5	GNAI1,CXCR5,GNAI1,1.920000
TUBAL3	TUBB4B,TUBAL3,TUBB4B,1.500000
HLA-DRA	HLA-DRB1,HLA-DRA,HLA-DRB1,3.450000
IKBKB	CHUK,IKBKB,CHUK,3.330000
SNAP23	STX4,SNAP23,STX4,2.020000
PIK3R2	FYN,PIK3R2,FYN,3.450000
TRAF2	TRAF1,TRAF2,TRAF1,1.200000
GNAL	ADCY4,GNAL,ADCY4,3.750000
UBE2L3	UBE3C,UBE2L3,UBE3C,2.330000
UBE2D2	UBA52,UBE2D2,UBA52,7.230000
KALRN	RAC1,KALRN,RAC1,3.698820
PIK3R2	LCK,PIK3R2,LCK,3.437890
JAK2	JAK3,JAK2,JAK3,5.580000
UBE2D1	UBA52,UBE2D1,UBA52,1.430000
UBA52	UBA3,UBA52,UBA3,1.370000
TUBA4A	TUBB2A,TUBA4A,TUBB2A,3.783570
NOTCH1	MAML2,NOTCH1,MAML2,2.450000
CDON	BOC,CDON,BOC,2.984900
RHOA	ARHGAP5,RHOA,ARHGAP5,3.834350
UBB	UBE2G2,UBB,UBE2G2,3.770000
NCAN	TNR,NCAN,TNR,2.514140
UBA52	WWP1,UBA52,WWP1,1.380000
HIST1H2AD	HIST1H2AC,HIST1H2AD,HIST1H2AC,2.743030
TUBB3	TUBA3E,TUBB3,TUBA3E,1.400000
HIST1H2AD	HIST1H2BH,HIST1H2AD,HIST1H2BH,1.010000
HLA-DQA1	HLA-DRB1,HLA-DQA1,HLA-DRB1,1.640000
HLA-DQA2	HLA-DRB1,HLA-DQA2,HLA-DRB1,2.150000
RAF1	PAK2,RAF1,PAK2,1.840000
TNFRSF10B	TNFSF10,TNFRSF10B,TNFSF10,2.370000
RPSA	RPS21,RPSA,RPS21,1.200000
L1CAM	CNTN2,L1CAM,CNTN2,2.250000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
KRT18	KRT5,KRT18,KRT5,1.730000
HIST1H2BL	H2AFJ,HIST1H2BL,H2AFJ,2.743030
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
RXRA	PPARG,RXRA,PPARG,3.290000
UBC	PACSIN2,UBC,PACSIN2,3.376720
HLA-DQA1	HLA-DRB1,HLA-DQA1,HLA-DRB1,1.640000
UBC	CBL,UBC,CBL,3.376720
H2AFX	HIST1H2BO,H2AFX,HIST1H2BO,4.455460
PIK3R2	SRC,PIK3R2,SRC,4.220000
RPS27A	TRIP12,RPS27A,TRIP12,2.330000
H2AFX	HIST1H2BB,H2AFX,HIST1H2BB,4.455460
NDUFS7	NDUFS2,NDUFS7,NDUFS2,1.290000
HERC4	HERC6,HERC4,HERC6,1.990000
HSPA8	BAG1,HSPA8,BAG1,1.510000
UBB	SH3GL1,UBB,SH3GL1,5.260000
NDUFV2	NDUFS1,NDUFV2,NDUFS1,1.310000
UBC	UBE2O,UBC,UBE2O,2.330000
UBA52	RBCK1,UBA52,RBCK1,7.230000
GNAT3	CXCR1,GNAT3,CXCR1,3.046240
GNAT3	CXCR2,GNAT3,CXCR2,1.510000
B2M	HLA-B,B2M,HLA-B,3.510000
PDGFRB	GRB7,PDGFRB,GRB7,2.800000
B2M	HLA-B,B2M,HLA-B,3.657490
TLR4	MYD88,TLR4,MYD88,2.810000
ARAF	MAP2K2,ARAF,MAP2K2,2.340000
IL1B	IL1RAP,IL1B,IL1RAP,1.540000
FGF1	FGFR2,FGF1,FGFR2,1.730000
HIST2H4B	H2AFJ,HIST2H4B,H2AFJ,1.080000
CBL	UBE2M,CBL,UBE2M,1.740000
STX6	VAMP4,STX6,VAMP4,3.620000
HIST1H2BO	HIST2H4B,HIST1H2BO,HIST2H4B,1.610000
POLR2C	POLR2B,POLR2C,POLR2B,1.370000
EP300	CITED1,EP300,CITED1,3.030000
EP300	CITED2,EP300,CITED2,3.030000
NDUFS2	NDUFS1,NDUFS2,NDUFS1,2.320000
HLA-A	B2M,HLA-A,B2M,3.657490
LTBR	TRAF3,LTBR,TRAF3,3.520000
UNC119B	ARL3,UNC119B,ARL3,3.360000
KRT1	KRT10,KRT1,KRT10,1.300000
INHBA	ACVR2B,INHBA,ACVR2B,1.220000
HLA-DQA2	HLA-DRB1,HLA-DQA2,HLA-DRB1,3.256510
MYD88	TLR7,MYD88,TLR7,1.690000
UBA52	HECTD2,UBA52,HECTD2,2.330000
HIST2H4B	HIST2H2AA4,HIST2H4B,HIST2H2AA4,2.280000
DDX5	MAGOH,DDX5,MAGOH,1.820000
MAPK3	DUSP7,MAPK3,DUSP7,3.310000
MAPK3	DUSP6,MAPK3,DUSP6,1.730000
HLA-A	B2M,HLA-A,B2M,3.657490
UBE2E3	NEDD4L,UBE2E3,NEDD4L,1.420000
SRC	KDR,SRC,KDR,3.300000
CDC42	FGD3,CDC42,FGD3,1.470000
FGF7	FGFR2,FGF7,FGFR2,2.380000
CTNNB1	CDH10,CTNNB1,CDH10,5.500000
SNRPD1	SNRPN,SNRPD1,SNRPN,2.586350
HLA-DQA1	HLA-DPB1,HLA-DQA1,HLA-DPB1,2.997910
C3	CFH,C3,CFH,3.620000
CDK2	CDKN1B,CDK2,CDKN1B,3.680000
RGS20	GNAI1,RGS20,GNAI1,3.420000
RPS27A	USP10,RPS27A,USP10,1.420000
H2AFX	HIST1H3E,H2AFX,HIST1H3E,1.320000
SKP1	CUL3,SKP1,CUL3,2.120000
XRCC4	NHEJ1,XRCC4,NHEJ1,2.160000
ITGB4	DST,ITGB4,DST,2.270000
PDGFB	PDGFRB,PDGFB,PDGFRB,1.620000
PLXNB1	SEMA4D,PLXNB1,SEMA4D,2.960000
CHM	RAB1A,CHM,RAB1A,5.560000
NRXN1	NLGN4X,NRXN1,NLGN4X,3.409900
CD3D	CD3E,CD3D,CD3E,1.050000
HIST2H4B	HIST2H2BE,HIST2H4B,HIST2H2BE,2.740000
PPP2CB	PPP2R5D,PPP2CB,PPP2R5D,5.260000
IL1R1	IL1RN,IL1R1,IL1RN,3.790000
HIST2H4B	HIST2H2AC,HIST2H4B,HIST2H2AC,1.860000
KRT18	KRT72,KRT18,KRT72,2.930000
IL6R	IL6ST,IL6R,IL6ST,2.960000
POLB	XRCC1,POLB,XRCC1,3.579380
HIST1H3E	PHF8,HIST1H3E,PHF8,3.980000
ACTB	WASF2,ACTB,WASF2,2.700000
AKT2	AKT3,AKT2,AKT3,3.806340
UBC	HERC1,UBC,HERC1,2.330000
RAB5A	ALS2,RAB5A,ALS2,1.360000
KLRC1	KLRD1,KLRC1,KLRD1,2.960000
RPS27A	SMURF2,RPS27A,SMURF2,1.430000
ARF1	CYTH4,ARF1,CYTH4,2.920000
UBC	UBE2B,UBC,UBE2B,3.376720
TIRAP	MYD88,TIRAP,MYD88,3.750000
