SCOC	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
RASA4	RET signaling(R)
RASA4	Signaling by Insulin receptor(R)
RASA4	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
RASA4	NCAM signaling for neurite out-growth(R)
RASA4	Signaling by Leptin(R)
RASA4	Fc epsilon receptor (FCERI) signaling(R)
RASA4	Signaling by Interleukins(R)
RASA4	Gastrin-CREB signalling pathway via PKC and MAPK(R)
RASA4	Signalling by NGF(R)
RASA4	Signaling by SCF-KIT(R)
RASA4	RAF/MAP kinase cascade(R)
RASA4	Signaling by PDGF(R)
RASA4	Signaling by PTK6(R)
TRAPPC6B	ER to Golgi Anterograde Transport(R)
TRAPPC6B	Asparagine N-linked glycosylation(R)
TRAPPC6B	RAB GEFs exchange GTP for GDP on RABs(R)
RASA1	Signaling by VEGF(R)
RASA1	Fc-epsilon receptor I signaling in mast cells(N)
RASA1	Aurora B signaling(N)
RASA1	BCR signaling pathway(N)
RASA1	Aurora A signaling(N)
RASA1	Signaling by EGFR(R)
RASA1	Signaling by Insulin receptor(R)
RASA1	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
RASA1	NCAM signaling for neurite out-growth(R)
RASA1	Signaling by Leptin(R)
RASA1	FGF signaling pathway(P)
RASA1	Signaling events regulated by Ret tyrosine kinase(N)
RASA1	Signaling by Interleukins(R)
RASA1	RAF/MAP kinase cascade(R)
RASA1	Angiopoietin receptor Tie2-mediated signaling(N)
RASA1	Signaling by PDGF(R)
RASA1	Syndecan-2-mediated signaling events(N)
RASA1	Signaling by PTK6(R)
RASA1	VEGFR1 specific signals(N)
RASA1	EPHB forward signaling(N)
RASA1	DAP12 interactions(R)
RASA1	Angiogenesis(P)
RASA1	PDGFR-beta signaling pathway(N)
RASA1	Signaling events mediated by focal adhesion kinase(N)
RASA1	RET signaling(R)
RASA1	Neurotrophic factor-mediated Trk receptor signaling(N)
RASA1	EGF receptor (ErbB1) signaling pathway(N)
RASA1	Fc epsilon receptor (FCERI) signaling(R)
RASA1	EPH-Ephrin signaling(R)
RASA1	Gastrin-CREB signalling pathway via PKC and MAPK(R)
RASA1	Signalling by NGF(R)
RASA1	Signaling by SCF-KIT(R)
RASA1	IL2-mediated signaling events(N)
RASA1	EGF receptor signaling pathway(P)
RASA1	Insulin Pathway(N)
RASA2	DAP12 interactions(R)
RASA2	Signaling by VEGF(R)
RASA2	Signaling by EGFR(R)
RASA2	RET signaling(R)
RASA2	Signaling by Insulin receptor(R)
RASA2	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
RASA2	NCAM signaling for neurite out-growth(R)
RASA2	Signaling by Leptin(R)
RASA2	Fc epsilon receptor (FCERI) signaling(R)
RASA2	Signaling by Interleukins(R)
RASA2	Gastrin-CREB signalling pathway via PKC and MAPK(R)
RASA2	Signalling by NGF(R)
RASA2	Signaling by SCF-KIT(R)
RASA2	RAF/MAP kinase cascade(R)
RASA2	Signaling by PDGF(R)
RASA2	Signaling by PTK6(R)
MYH8	Striated Muscle Contraction(R)
MYH8	Wnt signaling pathway(P)
MYH8	Nicotinic acetylcholine receptor signaling pathway(P)
MYH9	Signaling by Rho GTPases(R)
MYH9	EPH-Ephrin signaling(R)
MYH9	Semaphorin interactions(R)
MYH9	Nicotinic acetylcholine receptor signaling pathway(P)
MYH4	Wnt signaling pathway(P)
MYH4	Translocation of GLUT4 to the plasma membrane(R)
MYH4	Nicotinic acetylcholine receptor signaling pathway(P)
MYH6	Striated Muscle Contraction(R)
MYH6	Wnt signaling pathway(P)
MYH6	Nicotinic acetylcholine receptor signaling pathway(P)
SKIV2L2	rRNA processing(R)
SKIV2L2	Processing of Capped Intron-Containing Pre-mRNA(R)
MYH7	Wnt signaling pathway(P)
MYH7	Nicotinic acetylcholine receptor signaling pathway(P)
COLEC12	Binding and Uptake of Ligands by Scavenger Receptors(R)
STOML3	Ion channel transport(R)
COLEC11	Binding and Uptake of Ligands by Scavenger Receptors(R)
COLEC11	Complement cascade(R)
COLEC10	Complement cascade(R)
OR4K5	GPCR downstream signaling(R)
OR4K3	GPCR downstream signaling(R)
LEF1	Degradation of beta-catenin by the destruction complex(R)
LEF1	Alzheimer disease-presenilin pathway(P)
LEF1	Regulation of nuclear beta catenin signaling and target gene transcription(N)
LEF1	C-MYB transcription factor network(N)
LEF1	multi-step regulation of transcription by pitx2(B)
LEF1	Beta-catenin independent WNT signaling(R)
LEF1	Wnt signaling pathway(P)
LEF1	TCF dependent signaling in response to WNT(R)
LEF1	inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages(B)
OR4K2	GPCR downstream signaling(R)
ETFDH	The citric acid (TCA) cycle and respiratory electron transport(R)
OR4K1	GPCR downstream signaling(R)
OR2T34	GPCR downstream signaling(R)
OR2T35	GPCR downstream signaling(R)
OR2T33	GPCR downstream signaling(R)
MAPK9	B cell activation(P)
MAPK9	ATF-2 transcription factor network(N)
MAPK9	IL12 signaling mediated by STAT4(N)
MAPK9	CDC42 signaling events(N)
MAPK9	Rapid glucocorticoid signaling(N)
MAPK9	Role of Calcineurin-dependent NFAT signaling in lymphocytes(N)
MAPK9	Regulation of retinoblastoma protein(N)
MAPK9	Nephrin/Neph1 signaling in the kidney podocyte(N)
MAPK9	Noncanonical Wnt signaling pathway(N)
MAPK9	FAS (CD95) signaling pathway(N)
MAPK9	Fc epsilon receptor (FCERI) signaling(R)
MAPK9	Glucocorticoid receptor regulatory network(N)
MAPK9	Downstream signaling in na&#xef;ve CD8+ T cells(N)
MAPK9	Oxidative stress response(P)
MAPK9	p75(NTR)-mediated signaling(N)
MAPK9	IL2-mediated signaling events(N)
MAPK9	RAC1 signaling pathway(N)
MAPK9	Oxidative Stress Induced Senescence(R)
MAPK9	Integrin signalling pathway(P)
MAPK9	ErbB2/ErbB3 signaling events(N)
MAPK9	CD40/CD40L signaling(N)
MAPK9	FAS signaling pathway(P)
MAPK9	TGF-beta signaling pathway(P)
MAPK9	p53 pathway(N)
MAPK9	FGF signaling pathway(P)
MAPK9	T cell activation(P)
MAPK9	Glypican 3 network(N)
MAPK9	ErbB1 downstream signaling(N)
MAPK9	Alzheimer disease-amyloid secretase pathway(P)
MAPK9	PDGFR-beta signaling pathway(N)
MAPK9	Signaling events mediated by focal adhesion kinase(N)
MAPK9	FoxO family signaling(N)
MAPK9	Huntington disease(P)
MAPK9	Toll-Like Receptors Cascades(R)
MAPK9	EGF receptor signaling pathway(P)
MAPK9	mapkinase signaling pathway(B)
MAPK8	Fc-epsilon receptor I signaling in mast cells(N)
MAPK8	erk1/erk2 mapk signaling pathway(B)
MAPK8	BCR signaling pathway(N)
MAPK8	HIV-1 Nef: Negative effector of Fas and TNF-alpha(N)
MAPK8	IL1-mediated signaling events(N)
MAPK8	N-cadherin signaling events(N)
MAPK8	ATF-2 transcription factor network(N)
MAPK8	Signaling events regulated by Ret tyrosine kinase(N)
MAPK8	IL12 signaling mediated by STAT4(N)
MAPK8	Endothelins(N)
MAPK8	CDC42 signaling events(N)
MAPK8	Syndecan-2-mediated signaling events(N)
MAPK8	Rapid glucocorticoid signaling(N)
MAPK8	growth hormone signaling pathway(B)
MAPK8	Reelin signaling pathway(N)
MAPK8	FAS (CD95) signaling pathway(N)
MAPK8	Fc epsilon receptor (FCERI) signaling(R)
MAPK8	Glucocorticoid receptor regulatory network(N)
MAPK8	Oxidative stress response(P)
MAPK8	Signalling by NGF(R)
MAPK8	IL2-mediated signaling events(N)
MAPK8	RAC1 signaling pathway(N)
MAPK8	Oxidative Stress Induced Senescence(R)
MAPK8	ErbB2/ErbB3 signaling events(N)
MAPK8	TGF-beta signaling pathway(P)
MAPK8	S1P2 pathway(N)
MAPK8	p53 pathway(N)
MAPK8	RhoA signaling pathway(N)
MAPK8	Regulation of Androgen receptor activity(N)
MAPK8	T cell activation(P)
MAPK8	Glypican 3 network(N)
MAPK8	Osteopontin-mediated events(N)
MAPK8	ErbB1 downstream signaling(N)
MAPK8	Alzheimer disease-amyloid secretase pathway(P)
MAPK8	bcr signaling pathway(B)
MAPK8	trefoil factors initiate mucosal healing(B)
MAPK8	PDGFR-beta signaling pathway(N)
MAPK8	Ceramide signaling pathway(N)
MAPK8	FoxO family signaling(N)
MAPK8	role of ran in mitotic spindle regulation(B)
MAPK8	melanocyte development and pigmentation pathway(B)
MAPK8	EGF receptor signaling pathway(P)
MAPK8	Intrinsic Pathway for Apoptosis(R)
MAPK8	JNK signaling in the CD4+ TCR pathway(N)
MAPK8	B cell activation(P)
MAPK8	Signaling events mediated by Stem cell factor receptor (c-Kit)(N)
MAPK8	DSCAM interactions(R)
MAPK8	calcium signaling by hbx of hepatitis b virus(B)
MAPK8	Ephrin B reverse signaling(N)
MAPK8	hypoxia and p53 in the cardiovascular system(B)
MAPK8	Angiopoietin receptor Tie2-mediated signaling(N)
MAPK8	Role of Calcineurin-dependent NFAT signaling in lymphocytes(N)
MAPK8	Nephrin/Neph1 signaling in the kidney podocyte(N)
MAPK8	Noncanonical Wnt signaling pathway(N)
MAPK8	Angiogenesis(P)
MAPK8	tpo signaling pathway(B)
MAPK8	TRAIL signaling pathway(N)
MAPK8	role of erk5 in neuronal survival pathway(B)
MAPK8	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N)
MAPK8	Downstream signaling in na&#xef;ve CD8+ T cells(N)
MAPK8	p75(NTR)-mediated signaling(N)
MAPK8	Integrin signalling pathway(P)
MAPK8	CD40/CD40L signaling(N)
MAPK8	nerve growth factor pathway (ngf)(B)
MAPK8	FAS signaling pathway(P)
MAPK8	role of egf receptor transactivation by gpcrs in cardiac hypertrophy(B)
MAPK8	FGF signaling pathway(P)
MAPK8	DNA Double Strand Break Response(R)
MAPK8	Signaling events mediated by focal adhesion kinase(N)
MAPK8	EPO signaling pathway(N)
MAPK8	regulation of map kinase pathways through dual specificity phosphatases(B)
MAPK8	Ras Pathway(P)
MAPK8	Toll-Like Receptors Cascades(R)
MAPK8	Retinoic acid receptors-mediated signaling(N)
MAPK8	mapkinase signaling pathway(B)
MAPK8	pdgf signaling pathway(B)
MAPK7	RET signaling(R)
MAPK7	Interleukin signaling pathway(P)
MAPK7	Gastrin-CREB signalling pathway via PKC and MAPK(R)
MAPK7	Trk receptor signaling mediated by the MAPK pathway(N)
MAPK7	Toll-Like Receptors Cascades(R)
MAPK7	ErbB1 downstream signaling(N)
MAPK7	Signalling by NGF(R)
MAPK7	Parkinson disease(P)
MAPK7	Alzheimer disease-amyloid secretase pathway(P)
MAPK7	Senescence-Associated Secretory Phenotype (SASP)(R)
HLX	IL12-mediated signaling events(N)
MAPK1	Signaling by FGFR3(R)
MAPK1	Fc-epsilon receptor I signaling in mast cells(N)
MAPK1	Signaling by Rho GTPases(R)
MAPK1	BCR signaling pathway(N)
MAPK1	VEGF signaling pathway(P)
MAPK1	Cellular roles of Anthrax toxin(N)
MAPK1	ATF-2 transcription factor network(N)
MAPK1	Signaling events regulated by Ret tyrosine kinase(N)
MAPK1	Signaling by Interleukins(R)
MAPK1	Endothelins(N)
MAPK1	CDC42 signaling events(N)
MAPK1	Syndecan-2-mediated signaling events(N)
MAPK1	mechanism of gene regulation by peroxisome proliferators via ppara(B)
MAPK1	EGF receptor (ErbB1) signaling pathway(N)
MAPK1	mTOR signaling pathway(N)
MAPK1	Fc epsilon receptor (FCERI) signaling(R)
MAPK1	Glucocorticoid receptor regulatory network(N)
MAPK1	Trk receptor signaling mediated by the MAPK pathway(N)
MAPK1	Signalling by NGF(R)
MAPK1	IL2-mediated signaling events(N)
MAPK1	Oxidative Stress Induced Senescence(R)
MAPK1	Signaling by FGFR1(R)
MAPK1	Signaling by VEGF(R)
MAPK1	ErbB2/ErbB3 signaling events(N)
MAPK1	TGF-beta signaling pathway(P)
MAPK1	S1P2 pathway(N)
MAPK1	Ras signaling in the CD4+ TCR pathway(N)
MAPK1	Oncogene Induced Senescence(R)
MAPK1	Neutrophil degranulation(R)
MAPK1	Signaling by Leptin(R)
MAPK1	CXCR3-mediated signaling events(N)
MAPK1	IFN-gamma pathway(N)
MAPK1	T cell activation(P)
MAPK1	L1CAM interactions(R)
MAPK1	Osteopontin-mediated events(N)
MAPK1	ErbB1 downstream signaling(N)
MAPK1	Advanced glycosylation endproduct receptor signaling(R)
MAPK1	Alzheimer disease-amyloid secretase pathway(P)
MAPK1	RAF/MAP kinase cascade(R)
MAPK1	Signaling by PDGF(R)
MAPK1	VEGFR1 specific signals(N)
MAPK1	Senescence-Associated Secretory Phenotype (SASP)(R)
MAPK1	PIP3 activates AKT signaling(R)
MAPK1	S1P4 pathway(N)
MAPK1	Signaling by FGFR4(R)
MAPK1	PDGFR-beta signaling pathway(N)
MAPK1	Cellular response to heat stress(R)
MAPK1	Ceramide signaling pathway(N)
MAPK1	Thrombin signalling through proteinase activated receptors (PARs)(R)
MAPK1	Syndecan-1-mediated signaling events(N)
MAPK1	RET signaling(R)
MAPK1	Neurotrophic factor-mediated Trk receptor signaling(N)
MAPK1	Growth hormone receptor signaling(R)
MAPK1	VEGFR3 signaling in lymphatic endothelium(N)
MAPK1	Netrin-mediated signaling events(N)
MAPK1	S1P3 pathway(N)
MAPK1	Signaling by SCF-KIT(R)
MAPK1	EGF receptor signaling pathway(P)
MAPK1	B cell activation(P)
MAPK1	Signaling by EGFR(R)
MAPK1	Signaling by Insulin receptor(R)
MAPK1	Signaling by the B Cell Receptor (BCR)(R)
MAPK1	Fcgamma receptor (FCGR) dependent phagocytosis(R)
MAPK1	FGF signaling pathway(N)
MAPK1	Presenilin action in Notch and Wnt signaling(N)
MAPK1	Parkinson disease(P)
MAPK1	BMP receptor signaling(N)
MAPK1	Angiopoietin receptor Tie2-mediated signaling(N)
MAPK1	Signaling events mediated by PRL(N)
MAPK1	RAF-independent MAPK1/3 activation(R)
MAPK1	Signaling by FGFR2(R)
MAPK1	Angiogenesis(P)
MAPK1	S1P1 pathway(N)
MAPK1	TRAIL signaling pathway(N)
MAPK1	ALK1 signaling events(N)
MAPK1	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N)
MAPK1	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell(R)
MAPK1	Gastrin-CREB signalling pathway via PKC and MAPK(R)
MAPK1	Downstream signaling in na&#xef;ve CD8+ T cells(N)
MAPK1	Nongenotropic Androgen signaling(N)
MAPK1	Regulation of Telomerase(N)
MAPK1	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
MAPK1	NCAM signaling for neurite out-growth(R)
MAPK1	FGF signaling pathway(P)
MAPK1	Endothelin signaling pathway(P)
MAPK1	Arf6 downstream pathway(N)
MAPK1	EPHB forward signaling(N)
MAPK1	DAP12 interactions(R)
MAPK1	Signaling events mediated by VEGFR1 and VEGFR2(N)
MAPK1	Signaling events mediated by focal adhesion kinase(N)
MAPK1	transcription factor creb and its extracellular signals(B)
MAPK1	GMCSF-mediated signaling events(N)
MAPK1	Integrins in angiogenesis(N)
MAPK1	ErbB4 signaling events(N)
MAPK1	Regulation of cytoplasmic and nuclear SMAD2/3 signaling(N)
MAPK1	Class IB PI3K non-lipid kinase events(N)
MAPK1	Ras Pathway(P)
MAPK1	Toll-Like Receptors Cascades(R)
MAPK1	Opioid Signalling(R)
MAPK1	Retinoic acid receptors-mediated signaling(N)
MAPK1	mapkinase signaling pathway(B)
MAPK6	MAPK6/MAPK4 signaling(R)
MAPK6	Alzheimer disease-amyloid secretase pathway(P)
MAPK6	Interleukin signaling pathway(P)
MAPK6	Integrin signalling pathway(P)
MAPK4	MAPK6/MAPK4 signaling(R)
MAPK4	Alzheimer disease-amyloid secretase pathway(P)
MAPK3	repression of pain sensation by the transcriptional regulator dream(B)
MAPK3	egf signaling pathway(B)
MAPK3	Signaling by FGFR3(R)
MAPK3	Fc-epsilon receptor I signaling in mast cells(N)
MAPK3	apoptotic signaling in response to dna damage(B)
MAPK3	deregulation of cdk5 in alzheimers disease(B)
MAPK3	Cellular roles of Anthrax toxin(N)
MAPK3	protein kinase a at the centrosome(B)
MAPK3	angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(B)
MAPK3	Signaling events regulated by Ret tyrosine kinase(N)
MAPK3	Signaling by Interleukins(R)
MAPK3	segmentation clock(B)
MAPK3	Endothelins(N)
MAPK3	human cytomegalovirus and map kinase pathways(B)
MAPK3	bone remodeling(B)
MAPK3	Syndecan-2-mediated signaling events(N)
MAPK3	stathmin and breast cancer resistance to antimicrotubule agents(B)
MAPK3	role of ß-arrestins in the activation and targeting of map kinases(B)
MAPK3	stat3 signaling pathway(B)
MAPK3	telomeres telomerase cellular aging and immortality(B)
MAPK3	EGF receptor (ErbB1) signaling pathway(N)
MAPK3	mTOR signaling pathway(N)
MAPK3	Fc epsilon receptor (FCERI) signaling(R)
MAPK3	rho cell motility signaling pathway(B)
MAPK3	ion channels and their functional role in vascular endothelium(B)
MAPK3	phospholipids as signalling intermediaries(B)
MAPK3	cell cycle: g1/s check point(B)
MAPK3	IL2-mediated signaling events(N)
MAPK3	regulation of eif2(B)
MAPK3	ISG15 antiviral mechanism(R)
MAPK3	Oxidative Stress Induced Senescence(R)
MAPK3	t cell receptor signaling pathway(B)
MAPK3	control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk)(B)
MAPK3	sprouty regulation of tyrosine kinase signals(B)
MAPK3	TGF-beta signaling pathway(P)
MAPK3	S1P2 pathway(N)
MAPK3	rb tumor suppressor/checkpoint signaling in response to dna damage(B)
MAPK3	Oncogene Induced Senescence(R)
MAPK3	CXCR3-mediated signaling events(N)
MAPK3	IFN-gamma pathway(N)
MAPK3	T cell activation(P)
MAPK3	L1CAM interactions(R)
MAPK3	akt signaling pathway(B)
MAPK3	Osteopontin-mediated events(N)
MAPK3	ErbB1 downstream signaling(N)
MAPK3	bcr signaling pathway(B)
MAPK3	RAF/MAP kinase cascade(R)
MAPK3	Signaling by PDGF(R)
MAPK3	VEGFR1 specific signals(N)
MAPK3	Senescence-Associated Secretory Phenotype (SASP)(R)
MAPK3	S1P4 pathway(N)
MAPK3	Signaling by FGFR4(R)
MAPK3	the igf-1 receptor and longevity(B)
MAPK3	Ceramide signaling pathway(N)
MAPK3	Neurotrophic factor-mediated Trk receptor signaling(N)
MAPK3	VEGFR3 signaling in lymphatic endothelium(N)
MAPK3	rac1 cell motility signaling pathway(B)
MAPK3	melanocyte development and pigmentation pathway(B)
MAPK3	S1P3 pathway(N)
MAPK3	p38 mapk signaling pathway(B)
MAPK3	tgf beta signaling pathway(B)
MAPK3	mcalpain and friends in cell motility(B)
MAPK3	B cell activation(P)
MAPK3	Signaling by Insulin receptor(R)
MAPK3	integrin signaling pathway(B)
MAPK3	corticosteroids and cardioprotection(B)
MAPK3	Fcgamma receptor (FCGR) dependent phagocytosis(R)
MAPK3	skeletal muscle hypertrophy is regulated via akt-mtor pathway(B)
MAPK3	FGF signaling pathway(N)
MAPK3	tnf/stress related signaling(B)
MAPK3	gata3 participate in activating the th2 cytokine genes expression(B)
MAPK3	inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages(B)
MAPK3	Role of Calcineurin-dependent NFAT signaling in lymphocytes(N)
MAPK3	role of erbb2 in signal transduction and oncology(B)
MAPK3	wnt signaling pathway(B)
MAPK3	hiv-1 nef: negative effector of fas and tnf(B)
MAPK3	Signaling by FGFR2(R)
MAPK3	S1P1 pathway(N)
MAPK3	TRAIL signaling pathway(N)
MAPK3	ALK1 signaling events(N)
MAPK3	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N)
MAPK3	induction of apoptosis through dr3 and dr4/5 death receptors(B)
MAPK3	phospholipase c signaling pathway(B)
MAPK3	il 4 signaling pathway(B)
MAPK3	Gastrin-CREB signalling pathway via PKC and MAPK(R)
MAPK3	fas signaling pathway (cd95)(B)
MAPK3	regulation of eif-4e and p70s6 kinase(B)
MAPK3	nerve growth factor pathway (ngf)(B)
MAPK3	role of egf receptor transactivation by gpcrs in cardiac hypertrophy(B)
MAPK3	il-10 anti-inflammatory signaling pathway(B)
MAPK3	fmlp induced chemokine gene expression in hmc-1 cells(B)
MAPK3	cdc25 and chk1 regulatory pathway in response to dna damage(B)
MAPK3	FGF signaling pathway(P)
MAPK3	tumor suppressor arf inhibits ribosomal biogenesis(B)
MAPK3	ras signaling pathway(B)
MAPK3	EPHB forward signaling(N)
MAPK3	DAP12 interactions(R)
MAPK3	akap95 role in mitosis and chromosome dynamics(B)
MAPK3	Signaling events mediated by VEGFR1 and VEGFR2(N)
MAPK3	map kinase inactivation of smrt corepressor(B)
MAPK3	inhibition of cellular proliferation by gleevec(B)
MAPK3	GMCSF-mediated signaling events(N)
MAPK3	aspirin blocks signaling pathway involved in platelet activation(B)
MAPK3	Toll-Like Receptors Cascades(R)
MAPK3	Retinoic acid receptors-mediated signaling(N)
MAPK3	how progesterone initiates the oocyte maturation(B)
MAPK3	roles of ß arrestin dependent recruitment of src kinases in gpcr signaling(B)
MAPK3	tsp-1 induced apoptosis in microvascular endothelial cell(B)
MAPK3	Signaling by Rho GTPases(R)
MAPK3	erk1/erk2 mapk signaling pathway(B)
MAPK3	BCR signaling pathway(N)
MAPK3	role of nicotinic acetylcholine receptors in the regulation of apoptosis(B)
MAPK3	signal transduction through il1r(B)
MAPK3	ATF-2 transcription factor network(N)
MAPK3	ionomycin and phorbal ester signaling pathway(B)
MAPK3	CDC42 signaling events(N)
MAPK3	atm signaling pathway(B)
MAPK3	pten dependent cell cycle arrest and apoptosis(B)
MAPK3	the 41bb-dependent immune response(B)
MAPK3	regulation of splicing through sam68(B)
MAPK3	role of brca1 brca2 and atr in cancer susceptibility(B)
MAPK3	mechanism of gene regulation by peroxisome proliferators via ppara(B)
MAPK3	erk and pi-3 kinase are necessary for collagen binding in corneal epithelia(B)
MAPK3	agrin in postsynaptic differentiation(B)
MAPK3	Glucocorticoid receptor regulatory network(N)
MAPK3	RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription(R)
MAPK3	Trk receptor signaling mediated by the MAPK pathway(N)
MAPK3	Signalling by NGF(R)
MAPK3	Signaling by FGFR1(R)
MAPK3	Signaling by VEGF(R)
MAPK3	ErbB2/ErbB3 signaling events(N)
MAPK3	lissencephaly gene (lis1) in neuronal migration and development(B)
MAPK3	Ras signaling in the CD4+ TCR pathway(N)
MAPK3	Signaling by Leptin(R)
MAPK3	il-2 receptor beta chain in t cell activation(B)
MAPK3	fc epsilon receptor i signaling in mast cells(B)
MAPK3	ccr3 signaling in eosinophils(B)
MAPK3	Advanced glycosylation endproduct receptor signaling(R)
MAPK3	Alzheimer disease-amyloid secretase pathway(P)
MAPK3	il12 and stat4 dependent signaling pathway in th1 development(B)
MAPK3	PIP3 activates AKT signaling(R)
MAPK3	trefoil factors initiate mucosal healing(B)
MAPK3	PDGFR-beta signaling pathway(N)
MAPK3	Cellular response to heat stress(R)
MAPK3	nfat and hypertrophy of the heart (B)
MAPK3	Thrombin signalling through proteinase activated receptors (PARs)(R)
MAPK3	Syndecan-1-mediated signaling events(N)
MAPK3	RET signaling(R)
MAPK3	influence of ras and rho proteins on g1 to s transition(B)
MAPK3	role of ran in mitotic spindle regulation(B)
MAPK3	Growth hormone receptor signaling(R)
MAPK3	Netrin-mediated signaling events(N)
MAPK3	Signaling by SCF-KIT(R)
MAPK3	EGF receptor signaling pathway(P)
MAPK3	phosphoinositides and their downstream targets(B)
MAPK3	mtor signaling pathway(B)
MAPK3	Signaling events mediated by Stem cell factor receptor (c-Kit)(N)
MAPK3	toll-like receptor pathway(B)
MAPK3	bioactive peptide induced signaling pathway(B)
MAPK3	Signaling by EGFR(R)
MAPK3	vegf hypoxia and angiogenesis(B)
MAPK3	Signaling by the B Cell Receptor (BCR)(R)
MAPK3	links between pyk2 and map kinases(B)
MAPK3	calcium signaling by hbx of hepatitis b virus(B)
MAPK3	nfkb activation by nontypeable hemophilus influenzae(B)
MAPK3	hypoxia and p53 in the cardiovascular system(B)
MAPK3	b cell survival pathway(B)
MAPK3	Presenilin action in Notch and Wnt signaling(N)
MAPK3	Parkinson disease(P)
MAPK3	regulation of bad phosphorylation(B)
MAPK3	Angiopoietin receptor Tie2-mediated signaling(N)
MAPK3	trka receptor signaling pathway(B)
MAPK3	role of mal in rho-mediated activation of srf(B)
MAPK3	Signaling events mediated by PRL(N)
MAPK3	multiple antiapoptotic pathways from igf-1r signaling lead to bad phosphorylation(B)
MAPK3	RAF-independent MAPK1/3 activation(R)
MAPK3	tnfr2 signaling pathway(B)
MAPK3	tpo signaling pathway(B)
MAPK3	role of erk5 in neuronal survival pathway(B)
MAPK3	igf-1 signaling pathway(B)
MAPK3	Downstream signaling in na&#xef;ve CD8+ T cells(N)
MAPK3	phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway(B)
MAPK3	keratinocyte differentiation(B)
MAPK3	signaling pathway from g-protein families(B)
MAPK3	Integrin signalling pathway(P)
MAPK3	Nongenotropic Androgen signaling(N)
MAPK3	Regulation of Telomerase(N)
MAPK3	actions of nitric oxide in the heart(B)
MAPK3	ceramide signaling pathway(B)
MAPK3	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
MAPK3	NCAM signaling for neurite out-growth(R)
MAPK3	regulation of cell cycle progression by plk3(B)
MAPK3	Endothelin signaling pathway(P)
MAPK3	cadmium induces dna synthesis and proliferation in macrophages(B)
MAPK3	Arf6 downstream pathway(N)
MAPK3	transcription factor creb and its extracellular signals(B)
MAPK3	Integrins in angiogenesis(N)
MAPK3	ErbB4 signaling events(N)
MAPK3	cell cycle: g2/m checkpoint(B)
MAPK3	ras-independent pathway in nk cell-mediated cytotoxicity(B)
MAPK3	Regulation of cytoplasmic and nuclear SMAD2/3 signaling(N)
MAPK3	multi-step regulation of transcription by pitx2(B)
MAPK3	regulation of map kinase pathways through dual specificity phosphatases(B)
MAPK3	Ras Pathway(P)
MAPK3	mapkinase signaling pathway(B)
MAPK3	pdgf signaling pathway(B)
OR2T27	GPCR downstream signaling(R)
TMEM30A	Neutrophil degranulation(R)
LIMK2	RhoA signaling pathway(N)
LIMK2	CDC42 signaling events(N)
cDNA FLJ77253, highly similar to Homo sapiens nuclear receptor interacting protein 1 (NRIP1), mRNA {	mechanism of gene regulation by peroxisome proliferators via ppara(B)
OR2T29	GPCR downstream signaling(R)
LIMK1	CXCR4-mediated signaling events(N)
LIMK1	Fcgamma receptor (FCGR) dependent phagocytosis(R)
LIMK1	Signaling by Rho GTPases(R)
LIMK1	EPH-Ephrin signaling(R)
LIMK1	RhoA signaling pathway(N)
LIMK1	Caspase cascade in apoptosis(N)
LIMK1	Semaphorin interactions(R)
LIMK1	RAC1 signaling pathway(N)
LIMK1	CDC42 signaling events(N)
PPP2R3B	Regulation of retinoblastoma protein(N)
PPP2R3B	Mitotic G1-G1/S phases(R)
KISS1	GPCR downstream signaling(R)
KISS1	Gastrin-CREB signalling pathway via PKC and MAPK(R)
KISS1	GPCR ligand binding(R)
WEE1	Mitotic G1-G1/S phases(R)
WEE1	PLK1 signaling events(N)
WEE1	Cell Cycle Checkpoints(R)
WEE1	S Phase(R)
WEE1	Mitotic G2-G2/M phases(R)
WEE1	Factors involved in megakaryocyte development and platelet production(R)
PPP2R2C	FGF signaling pathway(P)
PPP2R2B	FGF signaling pathway(P)
PPP2R2B	PDGFR-beta signaling pathway(N)
PPP2R2B	ATR signaling pathway(N)
PPP2R2D	Mitotic Prophase(R)
TDRKH	Gene Silencing by RNA(R)
PGAP1	Post-translational modification: synthesis of GPI-anchored proteins(R)
FZD10	Cadherin signaling pathway(P)
FZD10	Wnt signaling network(N)
